MD5,text,enabled
5529b0f8acda5eda29cd57fe0614c6ac,#qadars #banker 2.23.2017,TRUE
fcb1f48fd4c2b0932fc43bfc55c387a9,Test md5 through rest api,TRUE
e9cb29a94b1e7a2c15ce3e382ff9ed15,Test body in delete request,TRUE
dcfc91b79abb8928da352578e4a0f354,"#tricked by #powershell #malware powered Word document
",TRUE
5c9a75ecc4880eb0c3de11c701748b51,"#tricked by #powershell #malware powered Word document
",TRUE
452af50749ee777bfce27024ee0d74a7,"#ransomware #sage
",TRUE
eb033c345b3d84361c0c25e50e050995,#bitcoinminer,TRUE
7fe1817197a725a27eea1ffeda14575d,#bitcoinminer,TRUE
0df9dce7b4f6254269929033ccd7bd53,"#var satoshitattoo = "".... (2.21.2017)
",TRUE
175e57631db76c889bd51705313143a1,"#hancidoc pony-like/cre/ pony zloader (2.21.2017)
",TRUE
2e45dbc0899905793e13d9246e75886d,"#hancidoc pony-like/cre/ pony zloader (2.21.2017)
",TRUE
18400d1d53c6964744a321a840c81801,"#wsh .js -> zloader (2.21.2017)
",TRUE
0d08b06c472818713631a104a4c3f223,"#CyberSplitterVBS client (2.21.2017)
",TRUE
684a21cf74dc35fd65b49f3468f2aad1,"#Rurktar #RAT (2.21.2017)
",TRUE
d455cb63263263b4557d30812fbd0bd6,"#Screenlocker #TechSupportScam (2.21.2017)
",TRUE
ed0f65bd64a0a76fa5890ef91a90f577,"#Nymaim #malware (2.21.2017)
",TRUE
76bf9fa65dc30f3226886d65846b82f0,"#Revenge #RAT (2.21.2017)
",TRUE
61b641d16d4e49f5afe064784e842d1c,"#Revenge #RAT (2.21.2017)
",TRUE
ec2519bc89fa45709381e479b11dee26,"#andromeda #gamarue (2.21.2017)
",TRUE
ce9651a1c6701dfbb70c983b51321d23,"#andromeda #gamarue (2.21.2017)
",TRUE
1c7158d74156881ede92ec46b48bfbef,"#email w @bitly link drops @google hosted #spybanker (2.21.2017)
",TRUE
92e731addc1fea6fe7edbd5e04421cd4,"#Gozi ISFB #Ursnif (2.21.2017)
",TRUE
d5ce5e9f4161d1f19cefc10c6c9ddf1a,"#Payload Generator That Can Bypass Antivirus Softwares (2.21.2017)
",TRUE
8675726bbd6212c92e8120d196566128,"#something ""perfect phising"" (2.21.2017)
",TRUE
ff5094e6a9c1dd6cd2fdea259fd8b27b,"#LuminosityLink #RAT (2.21.2017)
",TRUE
a3a914c679f3f8ebb0bfd7459fe2c01c,"#TeamViewer-based Backdoor #Application password: 346485426445462 (2.21.2017)
",TRUE
8bd9ab61d5bb60380c65bf61274fc82b,"#camstudio download ships with installCore (2.21.2017)
",TRUE
935f7bffc23cdcbd378acd1aa8e1db43,"#fake #hacking #tool sample. (2.21.2017)
",TRUE
4b1470d465e1a1322287f0c1b3325057,"#fake #hacking #tool sample. (2.21.2017)
",TRUE
91a25aa0482dbbe9fe65da2cf2ba61db,"#cerber (2.21.2017)
",TRUE
a4f6400c1cebffd05912bebd223fd5b3,"#cerber (2.21.2017)
",TRUE
7dbb7967410b014f71f2716d14a0aad9,"#cerber (2.21.2017)
",TRUE
6d65986bfbe527f023085025a5182425,"#Satana #ransomware (2.21.2017)
",TRUE
54aa0ce94334a4dc78d5523f4ea5afad,"#JobCrypter #ransomware (2.21.2017)
",TRUE
